Date,F1,,,F2,,,F3,,,F4,,,F5,,,F6,,,F7,,,F8,,,F9,,
,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C
2025-11-25,0,0,0,0,0,0,0,0,0,0,1500,1500,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-27,0,0,0,0,0,0,0,0,0,0,3,0,27,26,23,0,0,0,0,0,0,0,1,0,0,3,1
2025-11-28,2,0,0,2,0,0,1,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0
2025-11-29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0
2025-11-30,0,0,0,2,1,1,3,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
2025-12-01,1,1,0,2,1,1,0,1,0,0,1,0,0,4,1,1,0,0,2,0,1,0,0,0,0,1,2
2025-12-02,1,0,0,1,0,0,1,2,0,1,0,0,1,3,1,0,1,1,1,1,0,2,0,0,3,0,0
2025-12-03,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,0,0,0,2,0,0
2025-12-04,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,6,3,0,0,0,0,0,1
2025-12-05,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,6,3,1,0,0,500,2,0,0
2025-12-06,1,2,2,1,2,2,0,0,0,1,2,0,3,0,0,0,3,1,6,3,0,0,0,0,0,2,0
2025-12-07,0,1,2,2,3,2,0,0,0,3,1,3,3,0,0,0,0,0,3,2,0,0,0,0,0,1,0
2025-12-08,2,1,0,2,1,0,0,2,1,1,0,2,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0
2025-12-09,3,1,1,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0
2025-12-10,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-12-11,3,2,1,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-12-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0
2025-12-13,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,2,0,1,1,0,1,1
2025-12-14,4,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,6,0,0,0,0,0,1,0
2025-12-15,1,2,3,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
2025-12-16,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-12-17,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2025-12-18,1,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
2025-12-19,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-20,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1
2025-12-21,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0
2025-12-22,2,2,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0
2025-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
